0	0.44
0.01	0.48
0.02	0.48
0.03	0.46
0.04	0.46
0.05	0.44
0.06	0.44
0.07	0.42
0.08	0.42
0.09	0.4
0.1	0.38
0.11	0.38
0.12	0.36
0.13	0.36
0.14	0.34
0.15	0.34
0.16	0.32
0.17	0.32
0.18	0.3
0.19	0.3
0.2	0.48
0.21	0.48
0.22	0.46
0.23	0.46
0.24	0.44
0.25	0.42
0.26	0.42
0.27	0.4
0.28	0.4
0.29	0.38
0.3	0.36
0.31	0.36
0.32	0.34
0.33	0.34
0.34	0.32
0.35	0.32
0.36	0.3
0.37	0.3
0.38	0.48
0.39	0.46
0.4	0.46
0.41	0.44
0.42	0.42
0.43	0.42
0.44	0.4
0.45	0.38
0.46	0.38
0.47	0.36
0.48	0.34
0.49	0.34
0.5	0.32
0.51	0.3
0.52	0.3
0.53	0.48
0.54	0.46
0.55	0.44
0.56	0.44
0.57	0.42
0.58	0.4
0.59	0.38
0.6	0.38
0.61	0.36
0.62	0.34
0.63	0.34
0.64	0.32
0.65	0.3
0.66	0.48
0.67	0.46
0.68	0.44
0.69	0.42
0.7	0.4
0.71	0.38
0.72	0.34
0.73	0.3
0.74	0.46
0.75	0.44
0.76	0.4
0.77	0.38
0.78	0.34
0.79	0.3
0.8	0.48
0.81	0.44
0.82	0.42
0.83	0.38
0.84	0.34
0.85	0.32
0.86	0.38
0.87	0.46
0.88	0.38
0.89	0.44
0.9	0.32
0.91	0.38
0.92	0.32
0.93	0.42
0.94	0.32
0.95	0.42
0.96	0.34
0.97	0.44
0.98	0.32
0.99	0.4
1	0.4
1.01	0.48
1.02	0.32
1.03	0.36
1.04	0.38
1.05	0.4
1.06	0.4
1.07	0.4
1.08	0.4
1.09	0.4
1.1	0.4
1.11	0.36
1.12	0.34
1.13	0.3
1.14	0.46
1.15	0.44
1.16	0.4
1.17	0.38
1.18	0.32
1.19	0.48
1.2	0.44
1.21	0.4
1.22	0.38
1.23	0.34
1.24	0.3
1.25	0.46
1.26	0.44
1.27	0.4
1.28	0.36
1.29	0.32
1.3	0.3
1.31	0.46
1.32	0.44
1.33	0.4
1.34	0.38
1.35	0.34
1.36	0.32
1.37	0.48
1.38	0.46
1.39	0.44
1.4	0.4
1.41	0.38
1.42	0.36
1.43	0.34
1.44	0.32
1.45	0.48
1.46	0.46
1.47	0.44
1.48	0.42
1.49	0.38
1.5	0.36
1.51	0.34
1.52	0.32
1.53	0.3
1.54	0.46
1.55	0.44
1.56	0.42
1.57	0.4
1.58	0.38
1.59	0.36
1.6	0.32
1.61	0.3
1.62	0.48
1.63	0.46
1.64	0.44
1.65	0.42
1.66	0.38
1.67	0.36
1.68	0.34
1.69	0.3
1.7	0.48
1.71	0.46
1.72	0.44
1.73	0.42
1.74	0.4
1.75	0.36
1.76	0.34
1.77	0.32
1.78	0.3
1.79	0.48
1.8	0.46
1.81	0.44
1.82	0.42
1.83	0.4
1.84	0.4
1.85	0.38
1.86	0.36
1.87	0.34
1.88	0.32
1.89	0.3
1.9	0.48
1.91	0.46
1.92	0.46
1.93	0.44
1.94	0.42
1.95	0.4
1.96	0.38
1.97	0.36
1.98	0.34
1.99	0.34
2	0.32
2.01	0.3
2.02	0.48
2.03	0.48
2.04	0.46
2.05	0.46
2.06	0.44
2.07	0.42
2.08	0.42
2.09	0.4
2.1	0.4
2.11	0.38
2.12	0.36
2.13	0.36
2.14	0.34
2.15	0.34
2.16	0.32
2.17	0.3
2.18	0.3
2.19	0.48
2.2	0.46
2.21	0.46
2.22	0.44
2.23	0.44
2.24	0.42
2.25	0.4
2.26	0.4
2.27	0.38
2.28	0.36
2.29	0.36
2.3	0.34
2.31	0.32
2.32	0.32
2.33	0.3
2.34	0.48
2.35	0.48
2.36	0.46
2.37	0.44
2.38	0.44
2.39	0.42
2.4	0.4
2.41	0.4
2.42	0.38
2.43	0.36
2.44	0.34
2.45	0.34
2.46	0.32
2.47	0.3
2.48	0.3
2.49	0.48
2.5	0.46
2.51	0.44
2.52	0.42
2.53	0.42
2.54	0.4
2.55	0.38
2.56	0.36
2.57	0.36
2.58	0.34
2.59	0.32
2.6	0.32
2.61	0.3
2.62	0.3
2.63	0.48
2.64	0.48
2.65	0.46
2.66	0.46
2.67	0.44
2.68	0.44
2.69	0.42
2.7	0.42
2.71	0.4
2.72	0.4
2.73	0.38
2.74	0.38
2.75	0.36
2.76	0.36
2.77	0.34
2.78	0.34
2.79	0.32
2.8	0.32
2.81	0.3
2.82	0.3
2.83	0.48
2.84	0.48
2.85	0.46
2.86	0.46
2.87	0.44
2.88	0.44
2.89	0.42
2.9	0.42
2.91	0.4
2.92	0.4
2.93	0.38
2.94	0.38
2.95	0.36
2.96	0.36
2.97	0.34
2.98	0.34
2.99	0.32
3	0.32
3.01	0.32
3.02	0.3
3.03	0.3
3.04	0.3
3.05	0.48
3.06	0.48
3.07	0.48
3.08	0.46
3.09	0.46
3.1	0.46
3.11	0.46
3.12	0.44
3.13	0.44
3.14	0.44
3.15	0.42
3.16	0.42
3.17	0.42
3.18	0.42
3.19	0.4
3.2	0.4
3.21	0.4
3.22	0.38
3.23	0.38
3.24	0.38
3.25	0.36
3.26	0.36
3.27	0.36
3.28	0.34
3.29	0.34
3.3	0.34
3.31	0.34
3.32	0.32
3.33	0.32
3.34	0.32
3.35	0.3
3.36	0.3
3.37	0.3
