0.1037, 0.1372
0.2585, 0.1360
0.3890, 0.1348
0.5499, 0.1314
0.6683, 0.1280
0.7472, 0.1258
0.8080, 0.1232
0.8535, 0.1277
0.8987, 0.1519
0.9317, 0.1966
0.9524, 0.2394
0.9640, 0.2917
0.9787, 0.3386
0.9966, 0.3739
1.0177, 0.3851
1.0480, 0.3936
1.0722, 0.3967
1.0996, 0.3932
1.1239, 0.3874
1.1604, 0.3830
1.2485, 0.3715
1.3184, 0.3613
1.3914, 0.3515
1.4674, 0.3413
1.5524, 0.3325
1.6345, 0.3236
1.7135, 0.3139
1.7986, 0.3060
1.8806, 0.2989
1.9656, 0.2927
2.0568, 0.2866
2.1539, 0.2795
2.2511, 0.2738
2.3605, 0.2655
2.4729, 0.2593
2.6095, 0.2523
2.7644, 0.2453
2.9678, 0.2362
