3.03	0.1555
3.04	0.1555
3.05	0.1555
3.06	0.1555
3.07	0.1555
3.08	0.1555
3.09	0.1555
3.1	0.1555
3.11	0.1555
3.12	0.1555
3.13	0.1555
3.14	0.1555
3.15	0.1555
3.16	0.1555
3.17	0.1555
3.18	0.1555
3.19	0.1555
3.2	0.1555
3.21	0.1555
3.22	0.1555
3.23	0.1555
3.24	0.1555
3.25	0.1555
3.26	0.1555
3.27	0.1555
3.28	0.1555
3.29	0.1555
3.3	0.1555
3.31	0.1555
3.32	0.1555
3.33	0.1555
3.34	0.1555
3.35	0.1555
3.36	0.1555
3.37	0.1555
3.38	0.1555
3.39	0.1555
3.4	0.1555
3.41	0.1555
3.42	0.1555
3.43	0.1555
3.44	0.1555
3.45	0.1555
3.46	0.1555
3.47	0.1555
3.48	0.1555
3.49	0.1555
3.5	0.1555
3.51	0.1555
3.52	0.1555
3.53	0.1555
3.54	0.1555
3.55	0.1555
3.56	0.1555
3.57	0.1555
3.58	0.1555
3.59	0.1555
3.6	0.1555
3.61	0.1555
3.62	0.1555
3.63	0.1555
3.64	0.1555
3.65	0.1555
3.66	0.1555
3.67	0.1555
3.68	0.1555
3.69	0.1555
3.7	0.1555
3.71	0.1555
3.72	0.1555
3.73	0.1555
3.74	0.1555
3.75	0.1555
3.76	0.1555
3.77	0.1555
3.78	0.1555
3.79	0.1555
3.8	0.1555
3.81	0.1555
3.82	0.1555
3.83	0.1555
3.84	0.1555
3.85	0.1555
3.86	0.1555
3.87	0.1555
3.88	0.1555
3.89	0.1555
3.9	0.1555
3.91	0.1555
3.92	0.1555
3.93	0.1555
3.94	0.1555
3.95	0.1555
3.96	0.1555
3.97	0.1555
3.98	0.1555
3.99	0.1555
4	0.1555
